"Sl.
No.",District Name,Total Positives,"No.
Discharged",Active Cases,No. of Deaths
1,Bengaluru Urban,131,58,67,5
2,Mysuru,88,56,32,0
3,Belagavi,53,7,45,1
4,Kalaburgi,52,7,40,5
5,Vijayapura,41,6,33,2
6,Bagalakote,29,6,22,1
7,Dakshina Kannada,15,6,7,2
8,Chikkaballapura,18,11,5,2
9,Mandya,18,4,14,0
10,Bidar,14,8,6,0
11,Ballari,13,5,8,0
12,Uttara Kannada,11,10,1,0
13,Bengaluru Rural,6,6,0,0
14,Dharwad,9,2,7,0
15,Gadag,5,0,4,1
16,Udupi,3,3,0,0
17,Davanagere,3,2,1,0
18,Tumakuru,4,1,1,2
19,Chitradurga,1,1,0,0
20,Kodagu,1,1,0,0
21,Others*,20,16,4,0
